,acc
0,"tensor(0.0656, dtype=torch.float64)"
1,"tensor(0.0694, dtype=torch.float64)"
2,"tensor(0.0738, dtype=torch.float64)"
3,"tensor(0.0799, dtype=torch.float64)"
4,"tensor(0.0874, dtype=torch.float64)"
5,"tensor(0.0962, dtype=torch.float64)"
6,"tensor(0.1155, dtype=torch.float64)"
7,"tensor(0.1446, dtype=torch.float64)"
8,"tensor(0.1768, dtype=torch.float64)"
9,"tensor(0.2132, dtype=torch.float64)"
10,"tensor(0.2571, dtype=torch.float64)"
11,"tensor(0.3021, dtype=torch.float64)"
12,"tensor(0.3520, dtype=torch.float64)"
13,"tensor(0.4041, dtype=torch.float64)"
14,"tensor(0.4854, dtype=torch.float64)"
15,"tensor(0.5705, dtype=torch.float64)"
